CantidadDeBeneficiarios,CantidadBeneficioConsolidado,CantidadUltimobeneficio,CodigoDepartamentoAtencion,CodigoMunicipioAtencion,CondicionSexual,Discapacidad,EstadoBeneficiario,EstadoCivil,Etnia,FechaInscripcionBeneficiario,FechaUltimoBeneficioAsignado,Genero,NivelEscolaridad,NombreDepartamentoAtencion,NombreMunicipioAtencion,Pais,RangoEdad,TipoAsignacionBeneficio,TipoBeneficio,TipoDocumento,TipoPoblacion,ValorBeneficioConsolidadoAsignado,ValorUltimoBeneficioAsignado
1,1,1,08,08001,Heterosexual,NO,VINCULADOINSCRITO,Soltero(a),AFROCOLOMBIANO - NEGRO,2022-01-01,1900-01-01,Mujer,Básica Secundaria (o  o),ATLANTICO,BARRANQUILLA,Colombia,30-49,ND,ND,CC,NO REGISTRADO,0 - 1.500.000,0 - 1.300.000
1,1,1,76,76001,Heterosexual,NO,VINCULADOINSCRITO,Unión libre,AFROCOLOMBIANO - NEGRO,2022-01-01,1900-01-01,Mujer,Media (o  o),VALLE DEL CAUCA,CALI,Colombia,30-49,ND,ND,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,1,1,76,76001,Heterosexual,NO,VINCULADOINSCRITO,Unión libre,AFROCOLOMBIANO - NEGRO,2022-01-01,1900-01-01,Mujer,Media (o  o),VALLE DEL CAUCA,CALI,Colombia,30-49,ND,ND,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,1,1,19,19001,Heterosexual,NO,VINCULADOINSCRITO,Viudo(a),ND,2022-01-01,1900-01-01,Mujer,Media (o  o),CAUCA,POPAYÁN,Colombia,>65,ND,ND,CC,NO REGISTRADO,0 - 1.500.000,0 - 1.300.000
1,1,1,11,11001,No responde,NO,VINCULADOINSCRITO,Soltero(a),ND,2022-01-01,1900-01-01,Hombre,Básica Secundaria (o  o),BOGOTA,BOGOTA D.C.,Colombia,50-65,ND,ND,CC,NO REGISTRADO,0 - 1.500.000,0 - 1.300.000
1,1,1,08,08001,Heterosexual,NO,VINCULADOINSCRITO,Soltero(a),ND,2022-01-01,1900-01-01,Mujer,Básica primaria (o.  o.),ATLANTICO,BARRANQUILLA,Colombia,30-49,ND,ND,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,2,2,54,54001,No responde,NO,VINCULADOINSCRITO,Unión libre,ND,2022-01-01,1900-01-01,Mujer,Básica primaria (o.  o.),NORTE DE SANTANDER,CÚCUTA,Colombia,50-65,ND,ND,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,2,2,27,27001,Heterosexual,NO,VINCULADOINSCRITO,Unión libre,AFROCOLOMBIANO - NEGRO,2022-01-01,1900-01-01,Mujer,Técnico o tecnológico (),CHOCO,QUIBDÓ,Colombia,30-49,ND,ND,CC,DOBLE CONDICION,0 - 1.500.000,0 - 1.300.000
1,2,2,27,27001,Heterosexual,NO,VINCULADOINSCRITO,Unión libre,AFROCOLOMBIANO - NEGRO,2022-01-01,1900-01-01,Mujer,Técnico o tecnológico (),CHOCO,QUIBDÓ,Colombia,30-49,ND,ND,CC,DOBLE CONDICION,0 - 1.500.000,0 - 1.300.000
1,2,2,27,27001,Heterosexual,NO,VINCULADOINSCRITO,Unión libre,AFROCOLOMBIANO - NEGRO,2022-01-01,1900-01-01,Mujer,Técnico o tecnológico (),CHOCO,QUIBDÓ,Colombia,30-49,ND,ND,CC,DOBLE CONDICION,0 - 1.500.000,0 - 1.300.000
